timestamp,heart_rate,steps,calories,sleep_hours
2025-01-12T10:06:19.464841,86,9380,1010,5.2
2025-01-12T10:21:19.464841,88,8005,1417,4.8
2025-01-12T10:36:19.464841,79,4621,1277,8.3
2025-01-12T10:51:19.464841,68,7231,1519,5.1
2025-01-12T11:06:19.464841,116,9351,1848,5.1
2025-01-12T11:21:19.464841,94,7508,1579,6.7
2025-01-12T11:36:19.464841,91,8081,2269,6.4
2025-01-12T11:51:19.464841,110,4420,2004,6.2
2025-01-12T12:06:19.464841,91,9313,2172,5.7
2025-01-12T12:21:19.464841,112,5438,2098,7.1
2025-01-12T12:36:19.464841,95,7529,1416,6.9
2025-01-12T12:51:19.464841,72,6986,866,7.9
2025-01-12T13:06:19.464841,116,4543,1984,7.0
2025-01-12T13:21:19.464841,72,6763,2292,4.4
2025-01-12T13:36:19.464841,114,150,2467,6.4
2025-01-12T13:51:19.464841,108,7570,1009,5.4
2025-01-12T14:06:19.464841,117,4723,1639,8.1
2025-01-12T14:21:19.464841,65,3723,1269,7.5
2025-01-12T14:36:19.464841,110,2110,2179,6.6
2025-01-12T14:51:19.464841,83,1481,1416,8.4
2025-01-12T15:06:19.464841,79,8951,1590,4.6
2025-01-12T15:21:19.464841,113,2739,2171,7.9
2025-01-12T15:36:19.464841,113,6413,1793,5.2
2025-01-12T15:51:19.464841,82,792,2292,4.9
2025-01-12T16:06:19.464841,71,8132,1889,4.2
2025-01-12T16:21:19.464841,77,1640,2109,4.1
2025-01-12T16:36:19.464841,62,4370,1534,6.6
2025-01-12T16:51:19.464841,102,2903,950,5.2
2025-01-12T17:06:19.464841,106,6948,1529,8.8
2025-01-12T17:21:19.464841,116,6502,1869,5.6
2025-01-12T17:36:19.464841,111,8360,1923,5.2
2025-01-12T17:51:19.464841,78,8697,2318,6.9
2025-01-12T18:06:19.464841,92,4316,922,8.8
2025-01-12T18:21:19.464841,62,3528,1160,6.9
2025-01-12T18:36:19.464841,85,9491,2384,4.0
2025-01-12T18:51:19.464841,114,383,1631,7.7
2025-01-12T19:06:19.464841,110,9589,2369,8.7
2025-01-12T19:21:19.464841,104,90,2286,8.1
2025-01-12T19:36:19.464841,76,2063,1459,7.6
2025-01-12T19:51:19.464841,72,4128,2065,8.2
2025-01-12T20:06:19.464841,113,2741,804,6.4
2025-01-12T20:21:19.464841,118,5152,1975,4.5
2025-01-12T20:36:19.464841,114,9581,875,6.8
